down,quarter,yardsToGo,yardlineNumber,defendersInTheBox,numberOfPassRushers,HomeScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreBeforePlay,VisitorScoreAfterPlay,PassLength,YardsAfterCatch,PlayResult,firstDown_Conversion
4,2,4,4,5,5,0,0,10,17,2,2,4,0
4,3,7,21,3,2,6,6,17,17,4,2,6,0
4,4,10,5,7,5,42,42,0,0,3,0,3,0
4,1,2,42,6,2,10,10,0,0,1,4,5,1
4,2,1,43,5,2,24,24,7,7,1,2,3,1
4,3,2,1,6,5,28,35,34,34,1,0,1,0
4,4,2,32,8,3,3,3,10,10,0,-1,-1,0
4,2,2,41,6,2,0,0,20,20,2,3,5,1
4,4,1,5,7,3,37,37,42,42,5,0,5,1
4,3,6,45,6,5,10,10,13,13,1,1,2,0
4,3,6,21,6,3,23,23,14,14,2,14,16,1
4,4,3,10,8,4,13,13,28,28,6,2,8,1
4,4,3,5,8,3,37,37,20,27,4,1,5,1
4,1,6,8,5,5,13,13,3,10,8,0,8,1
4,2,2,7,6,4,13,13,10,17,5,2,7,1
4,2,1,9,5,5,24,24,23,23,3,3,6,1
4,4,6,1,9,4,24,24,14,14,0,-1,-1,0
4,1,5,17,5,5,10,10,7,7,1,9,10,1
4,2,4,5,5,4,20,20,13,13,5,0,5,1
4,1,1,4,7,6,14,14,14,14,2,2,4,1
4,3,5,10,7,4,10,10,28,28,2,3,5,0
4,4,4,16,7,5,42,42,40,40,6,10,16,1
4,3,4,4,4,4,23,23,7,7,1,0,1,0
4,4,13,29,6,4,3,3,42,42,4,0,4,0
4,4,4,17,4,5,31,31,31,31,2,4,6,1
4,4,2,17,5,3,7,7,31,31,1,0,1,0
4,3,4,21,6,4,34,34,21,21,2,6,8,1
4,1,1,7,8,3,0,0,13,13,3,0,3,1
4,4,1,10,4,3,7,7,17,17,5,0,5,1
4,1,2,8,8,5,3,3,6,6,0,-3,-3,0
4,1,1,34,5,4,7,7,10,10,1,0,1,0
4,2,1,25,9,4,20,20,6,6,-1,-3,-4,0
4,1,3,34,7,3,14,14,14,14,10,1,11,1
4,2,2,15,6,3,24,24,3,3,7,3,10,1
4,3,2,1,7,4,17,24,6,6,1,0,1,0
4,4,1,7,5,2,6,6,23,30,2,5,7,1
4,4,5,9,6,3,21,21,13,13,3,0,3,0
4,1,4,34,6,5,3,3,14,14,3,0,3,0
4,3,1,13,3,2,10,10,28,28,1,5,6,1
4,1,5,28,5,3,6,6,13,13,4,0,4,0
4,3,1,21,6,4,31,31,20,20,3,0,3,1
4,2,6,12,5,4,20,27,23,23,10,2,12,1
4,4,5,3,7,5,28,28,7,7,0,0,0,0
4,2,1,4,6,6,23,23,21,21,-1,-6,-7,0
4,4,1,57,4,5,13,13,37,37,4,10,14,1
4,3,1,9,6,5,14,14,24,24,1,2,3,1
4,4,3,28,5,3,31,31,17,17,1,4,5,1
4,2,1,71,6,4,17,17,14,14,8,8,16,1
4,1,2,5,9,3,10,10,7,7,1,0,1,0
4,1,6,21,4,3,0,0,13,13,1,2,3,0
4,4,1,1,4,4,34,34,7,7,0,-4,-4,0
4,4,15,25,7,4,40,40,10,10,3,1,4,0
4,2,4,40,6,4,3,3,0,0,11,3,14,1
4,2,4,28,8,3,24,24,7,7,1,9,10,1
4,4,6,3,7,6,31,31,21,21,2,3,5,0
4,2,5,35,6,5,24,24,6,6,3,1,4,0
4,4,1,10,5,5,28,28,14,14,2,0,2,1
4,4,3,21,5,4,21,21,20,20,4,4,8,1
4,1,6,20,7,3,10,10,14,14,5,1,6,0
4,3,4,13,4,3,17,17,27,27,6,0,6,1
4,2,6,62,7,4,17,17,24,24,2,1,3,0
4,2,2,1,5,5,6,6,13,20,1,0,1,0
4,3,3,29,6,4,28,28,3,3,5,2,7,1
4,4,7,9,7,4,40,40,14,14,6,0,6,0
4,1,6,24,6,6,14,14,10,10,5,2,7,1
4,4,4,23,7,3,0,0,7,7,6,3,9,1
4,1,5,18,6,3,3,3,10,10,2,6,8,1
4,1,1,3,5,3,0,0,10,17,1,2,3,1
4,3,2,5,6,4,3,3,24,24,1,1,2,0
4,1,1,10,5,4,6,6,13,13,1,7,8,1
4,2,3,29,7,2,17,17,23,23,2,7,9,1
4,1,1,25,7,5,6,6,14,14,10,6,16,1
4,1,1,37,4,4,13,13,14,14,5,0,5,1
4,2,3,24,7,3,10,10,6,6,1,4,5,1
4,3,1,1,4,4,20,20,21,28,1,0,1,0
4,3,1,3,3,2,10,17,13,13,2,1,3,1
4,2,2,35,7,5,21,21,21,21,-1,-4,-5,0
4,3,7,4,6,3,7,14,3,3,4,0,4,0
4,3,1,4,3,3,0,0,13,13,0,0,0,0
4,4,10,8,5,3,6,6,10,10,1,6,7,0
4,2,1,6,4,5,3,3,20,20,2,0,2,1
4,1,5,4,7,4,6,6,10,10,-1,-1,-2,0
4,1,2,2,4,3,7,14,3,3,1,1,2,0
4,4,1,27,6,4,34,34,20,20,2,6,8,1
4,1,10,2,7,3,14,21,6,6,2,0,2,0
4,1,1,1,7,5,14,14,6,13,1,0,1,0
4,3,1,1,5,3,31,31,23,23,-1,-1,-2,0
4,4,2,9,6,6,37,37,3,3,1,0,1,0
4,1,5,16,5,4,7,7,10,10,2,1,3,0
4,1,1,10,7,4,3,3,10,10,0,0,0,0
4,1,8,21,5,3,3,3,0,0,3,0,3,0
4,2,3,25,6,4,23,23,10,10,8,3,11,1
4,4,7,22,6,5,6,6,3,3,18,1,19,1
4,3,3,11,4,5,34,34,28,35,6,5,11,1
4,2,1,3,6,2,17,17,17,17,1,1,2,1
4,3,2,14,5,5,17,17,28,28,5,6,11,1
4,1,18,7,5,4,14,14,7,7,0,-1,-1,0
4,3,6,5,6,3,0,0,21,21,1,1,2,0
4,1,17,2,6,5,7,7,0,0,3,8,11,0
4,1,3,2,6,2,10,17,7,7,1,1,2,0
4,2,13,26,8,3,14,14,14,14,1,8,9,0
4,3,2,10,7,4,13,20,3,3,1,9,10,1
4,1,6,2,5,5,14,14,14,14,2,0,2,0
4,3,9,24,6,3,7,7,20,20,3,4,7,0
4,3,1,13,3,3,34,34,24,24,1,11,12,1
4,4,8,1,7,5,28,28,42,42,1,0,1,0
4,4,2,1,5,3,7,14,13,13,1,0,1,0
4,1,5,16,6,5,3,3,0,0,0,-2,-2,0
4,4,1,20,6,4,10,10,0,0,4,5,9,1
4,2,1,20,6,2,23,23,14,14,3,0,3,1
4,3,12,13,3,2,6,6,14,14,-1,-5,-6,0
4,1,7,2,4,4,13,13,7,7,-1,-1,-2,0
4,3,2,30,3,5,34,34,0,0,4,2,6,1
4,1,7,2,5,4,0,0,7,7,0,0,0,0
4,2,4,2,8,5,23,23,6,13,1,1,2,0
4,3,2,15,9,4,3,3,28,28,4,1,5,1
4,3,8,16,7,3,20,20,21,21,5,0,5,0
4,2,5,83,6,5,7,7,3,3,3,0,3,0
4,2,2,4,6,4,10,17,6,6,2,2,4,1
4,2,2,1,7,4,7,14,14,14,1,0,1,0
4,3,2,15,8,4,17,17,3,3,9,1,10,1
4,2,1,10,8,5,17,17,21,21,5,0,5,1
4,2,4,58,7,4,3,3,6,6,0,0,0,0
4,1,13,14,8,4,3,3,0,0,0,0,0,0
4,4,1,21,6,2,42,42,6,6,3,3,6,1
4,4,11,44,5,3,13,13,23,23,2,2,4,0
4,3,2,10,6,4,24,24,23,23,4,0,4,1
4,2,4,29,7,5,0,0,13,13,9,0,9,1
4,1,1,11,7,4,14,14,13,13,1,5,6,1
4,3,5,14,5,5,6,6,6,6,1,6,7,1
4,1,2,17,7,5,0,0,3,3,1,2,3,1
4,4,3,3,6,5,42,42,42,49,3,0,3,0
4,1,2,13,6,3,3,3,0,0,6,0,6,1
4,3,6,11,11,4,3,3,10,10,1,0,1,0
4,1,2,9,6,3,0,7,10,10,9,0,9,1
4,1,8,24,4,5,14,14,3,3,4,4,8,0
4,4,2,17,5,5,10,10,20,20,5,0,5,1
4,2,6,1,5,2,10,10,23,30,1,0,1,0
4,1,1,19,5,4,7,7,13,13,2,1,3,1
4,2,2,24,7,4,3,3,6,6,6,4,10,1
4,1,2,25,9,3,10,10,13,13,6,0,6,1
4,2,1,28,8,2,7,7,10,10,8,1,9,1
4,1,1,9,8,3,14,14,0,0,7,0,7,1
4,3,2,1,5,3,10,10,28,34,1,0,1,0
4,1,4,17,8,4,0,0,6,6,0,-6,-6,0
