,gameId,playId,quarter,GameClock,down,yardsToGo,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,firstDown_Conversion
158,2017091004,4322,4,02:27:00,4,2,DET,30.0,SINGLEBACK,"1 RB, 0 TE, 4 WR",7.0,,"4 DL, 1 LB, 6 DB",35,17,35,17,False,,,,2,(2:27) (No Huddle) C.Palmer up the middle to DET 28 for 2 yards (J.Davis).,1.0
187,2017090700,653,1,09:34:00,4,1,KC,10.0,SINGLEBACK,"6 OL, 1 RB, 2 TE, 1 WR",9.0,,"3 DL, 4 LB, 4 DB",7,0,7,0,False,,,,0,"(9:34) N.Solder reported in as eligible.  M.Gillislee up the middle to KC 10 for no gain (A.Bailey, B.Logan).",0.0
307,2017090700,3874,4,12:29:00,4,1,KC,40.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",10.0,,"4 DL, 4 LB, 3 DB",27,28,27,28,False,,,,0,(12:29) N.Solder reported in as eligible.  M.Gillislee up the middle to KC 40 for no gain (F.Zombo; J.Houston).,0.0
449,2017091003,2796,3,02:03:00,4,2,PIT,42.0,SHOTGUN,"2 RB, 1 TE, 2 WR",5.0,4.0,"2 DL, 3 LB, 6 DB",10,21,10,21,False,2.0,C,4.0,6,(2:03) (Shotgun) D.Kizer pass short left to S.DeValve to PIT 36 for 6 yards (W.Gay).,1.0
478,2017091003,3545,4,03:40:00,4,2,PIT,3.0,EMPTY,"2 RB, 1 TE, 2 WR",5.0,4.0,"2 DL, 4 LB, 5 DB",10,21,16,21,True,3.0,C,0.0,3,"(3:40) (Shotgun) D.Kizer pass short left to C.Coleman for 3 yards, TOUCHDOWN. PIT-J.Wilcox was injured during the play.  PENALTY on PIT-J.Wilcox, Unnecessary Roughness, 15 yards, enforced between downs.",1.0
611,2017091002,3484,4,04:43:00,4,5,BAL,13.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"2 DL, 4 LB, 5 DB",0,20,0,20,False,13.0,I,,0,(4:43) (Shotgun) A.Dalton pass incomplete short right [M.Judon]. {thrown away},0.0
733,2017091000,3084,3,02:06:00,4,1,BUF,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"3 DL, 3 LB, 5 DB",14,6,14,12,False,,,,1,"(2:06) J.McCown up the middle for 1 yard, TOUCHDOWN.",1.0
915,2017091001,3734,4,00:46:00,4,3,ATL,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",17,23,17,23,False,12.0,C,2.0,14,(:46) (Shotgun) M.Glennon pass short middle to J.Bellamy to ATL 28 for 14 yards (D.Trufant).,1.0
922,2017091001,3984,4,00:08:00,4,5,ATL,5.0,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,4.0,"3 DL, 4 LB, 4 DB",17,23,17,23,False,,S,,-9,(:08) (Shotgun) M.Glennon sacked at ATL 14 for -9 yards (B.Reed).,0.0
955,2017091007,825,1,00:45:00,4,1,TEN,3.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"2 DL, 4 LB, 5 DB",7,7,7,7,False,,,,1,(:45) M.Lynch right guard to TEN 2 for 1 yard (W.Woodyard).,1.0
1231,2017091008,4082,4,00:30:00,4,2,PHI,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 2 LB, 5 DB",17,30,17,30,False,2.0,I,,0,(:30) (Shotgun) K.Cousins pass incomplete short right to J.Reed.,0.0
1299,2017091005,1724,2,02:14:00,4,1,HOU,1.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",10.0,,"4 DL, 4 LB, 3 DB",0,6,0,12,False,,,,1,"(2:14) L.Fournette up the middle for 1 yard, TOUCHDOWN.",1.0
