,home_team,away_team,defteam,yardline_100,fourth_down_converted,pass_length,penalty,down,yards_after_catch,play_type,game_seconds_remaining,air_yards,total_home_score,total_away_score,ydstogo,yards_gained,year,GameClock,yardline_half,score_diff
0,CHI,GB,GB,33.0,0.0,,0.0,4.0,,run,1140.0,,3,7,10,3,2019,19:00:00,17.0,-4
1,CHI,GB,GB,84.0,0.0,,0.0,4.0,,pass,69.0,,3,10,8,-11,2019,1:09:00,34.0,-7
2,PHI,WAS,WAS,29.0,0.0,short,0.0,4.0,,pass,2452.0,0.0,0,10,2,0,2019,40:52:00,21.0,-10
3,PHI,WAS,WAS,66.0,1.0,,0.0,4.0,,run,1683.0,,7,20,1,2,2019,28:03:00,16.0,-13
4,PHI,WAS,PHI,59.0,1.0,short,0.0,4.0,2.0,pass,146.0,6.0,32,20,7,8,2019,2:26:00,9.0,12
5,PHI,WAS,PHI,53.0,1.0,short,0.0,4.0,20.0,pass,85.0,-2.0,32,20,12,18,2019,1:25:00,3.0,12
6,NYJ,BUF,NYJ,36.0,0.0,,0.0,4.0,,run,2035.0,,6,0,1,0,2019,33:55:00,14.0,6
7,NYJ,BUF,BUF,66.0,1.0,,0.0,4.0,,run,120.0,,16,17,1,1,2019,2:00:00,16.0,-1
8,NYJ,BUF,BUF,60.0,0.0,deep,0.0,4.0,,pass,77.0,17.0,16,17,10,0,2019,1:17:00,10.0,-1
9,MIN,ATL,MIN,20.0,1.0,deep,0.0,4.0,0.0,pass,565.0,20.0,28,6,5,20,2019,9:25:00,30.0,22
10,MIN,ATL,MIN,23.0,1.0,short,0.0,4.0,0.0,pass,87.0,5.0,28,6,2,5,2019,1:27:00,27.0,22
11,MIA,BAL,MIA,70.0,1.0,,0.0,4.0,,run,1979.0,,3,35,1,60,2019,32:59:00,20.0,-32
12,MIA,BAL,MIA,3.0,1.0,short,0.0,4.0,1.0,pass,570.0,2.0,10,58,3,3,2019,9:30:00,47.0,-48
13,CLE,TEN,TEN,48.0,0.0,short,0.0,4.0,,pass,341.0,11.0,13,36,13,0,2019,5:41:00,2.0,-23
14,CLE,TEN,TEN,67.0,0.0,,0.0,4.0,,run,81.0,,13,43,2,1,2019,1:21:00,17.0,-30
15,LAC,IND,LAC,49.0,1.0,short,0.0,4.0,4.0,pass,214.0,4.0,24,16,3,8,2019,3:34:00,1.0,8
16,SEA,CIN,SEA,36.0,0.0,,0.0,4.0,,run,1027.0,,14,17,1,0,2019,17:07:00,14.0,-3
17,TB,SF,SF,2.0,0.0,short,0.0,4.0,,pass,787.0,2.0,14,20,2,0,2019,13:07:00,48.0,-6
18,TB,SF,SF,37.0,0.0,deep,0.0,4.0,,pass,61.0,35.0,17,31,6,0,2019,1:01:00,13.0,-14
19,DAL,NYG,DAL,44.0,0.0,deep,0.0,4.0,,pass,1809.0,44.0,21,7,5,0,2019,30:09:00,6.0,14
20,DAL,NYG,DAL,40.0,1.0,short,0.0,4.0,0.0,pass,1710.0,11.0,21,7,8,11,2019,28:30:00,10.0,14
21,DAL,NYG,DAL,7.0,0.0,,0.0,4.0,,pass,1224.0,,28,10,1,-4,2019,20:24:00,43.0,18
22,ARI,DET,ARI,90.0,0.0,deep,0.0,4.0,,pass,5.0,40.0,27,27,24,0,2019,0:05:00,40.0,0
23,NE,PIT,NE,47.0,0.0,short,0.0,4.0,,pass,1920.0,4.0,17,0,1,0,2019,32:00:00,3.0,17
24,NE,PIT,NE,45.0,0.0,short,0.0,4.0,,pass,752.0,13.0,30,3,9,0,2019,12:32:00,5.0,27
25,NE,PIT,NE,32.0,1.0,short,0.0,4.0,2.0,pass,36.0,4.0,33,3,2,6,2019,0:36:00,18.0,30
26,NO,HOU,NO,21.0,1.0,,0.0,4.0,,run,2659.0,,0,6,1,21,2019,44:19:00,29.0,-6
27,CAR,TB,TB,47.0,0.0,,0.0,4.0,,run,3220.0,,0,0,1,0,2019,53:40:00,3.0,0
28,CAR,TB,TB,45.0,0.0,deep,0.0,4.0,,pass,705.0,25.0,14,17,1,0,2019,11:45:00,5.0,-3
29,CAR,TB,TB,2.0,0.0,,0.0,4.0,,run,88.0,,14,20,1,0,2019,1:28:00,48.0,-6
30,BAL,ARI,ARI,43.0,0.0,deep,0.0,4.0,,pass,2979.0,20.0,7,0,3,0,2019,49:39:00,7.0,7
31,BAL,ARI,BAL,47.0,1.0,short,0.0,4.0,3.0,pass,2536.0,2.0,10,3,2,5,2019,42:16:00,3.0,7
32,WAS,DAL,DAL,31.0,1.0,short,0.0,4.0,4.0,pass,1298.0,8.0,7,21,7,12,2019,21:38:00,19.0,-14
33,WAS,DAL,DAL,46.0,0.0,short,0.0,4.0,,pass,667.0,5.0,14,24,3,0,2019,11:07:00,4.0,-10
34,WAS,DAL,DAL,6.0,1.0,short,0.0,4.0,0.0,pass,173.0,5.0,14,31,4,5,2019,2:53:00,44.0,-17
35,TEN,IND,TEN,65.0,1.0,,0.0,4.0,,run,144.0,,17,19,1,1,2019,2:24:00,15.0,-2
36,TEN,IND,IND,45.0,0.0,short,0.0,4.0,,pass,13.0,0.0,17,19,2,0,2019,0:13:00,5.0,-2
37,PIT,SEA,PIT,33.0,1.0,,0.0,4.0,,run,120.0,,26,28,1,2,2019,2:00:00,17.0,-2
38,NYG,BUF,BUF,15.0,1.0,short,0.0,4.0,3.0,pass,785.0,6.0,7,21,2,9,2019,13:05:00,35.0,-14
39,NYG,BUF,BUF,58.0,0.0,short,0.0,4.0,,pass,306.0,15.0,14,28,10,0,2019,5:06:00,8.0,-14
40,CIN,SF,SF,26.0,0.0,deep,0.0,4.0,,pass,245.0,19.0,10,41,11,0,2019,4:05:00,24.0,-31
41,CIN,SF,SF,66.0,1.0,deep,0.0,4.0,50.0,pass,56.0,16.0,16,41,4,66,2019,0:56:00,16.0,-25
42,DET,LAC,LAC,35.0,1.0,short,0.0,4.0,0.0,pass,486.0,4.0,6,10,1,4,2019,8:06:00,15.0,-4
43,GB,MIN,MIN,25.0,0.0,,0.0,4.0,,run,1897.0,,21,7,1,-2,2019,31:37:00,25.0,14
44,HOU,JAX,JAX,2.0,1.0,,0.0,4.0,,run,701.0,,12,3,1,2,2019,11:41:00,48.0,9
45,HOU,JAX,HOU,59.0,1.0,,0.0,4.0,,run,139.0,,13,6,1,1,2019,2:19:00,9.0,7
46,HOU,JAX,HOU,31.0,1.0,,0.0,4.0,,run,52.0,,13,6,10,18,2019,0:52:00,19.0,7
47,MIA,NE,NE,50.0,1.0,short,0.0,4.0,5.0,pass,433.0,5.0,0,37,5,10,2019,7:13:00,0.0,-37
48,MIA,NE,NE,53.0,0.0,short,0.0,4.0,10.0,pass,357.0,7.0,0,37,23,17,2019,5:57:00,3.0,-37
49,MIA,NE,NE,41.0,0.0,short,0.0,4.0,,pass,314.0,9.0,0,37,10,0,2019,5:14:00,9.0,-37
50,MIA,NE,NE,36.0,1.0,short,0.0,4.0,7.0,pass,18.0,5.0,0,43,10,12,2019,0:18:00,14.0,-43
51,OAK,KC,KC,56.0,1.0,,0.0,4.0,,run,546.0,,10,28,2,8,2019,9:06:00,6.0,-18
52,LA,NO,LA,52.0,0.0,,0.0,4.0,,run,1967.0,,3,3,1,0,2019,32:47:00,2.0,0
53,DEN,CHI,CHI,45.0,1.0,short,0.0,4.0,7.0,pass,527.0,-3.0,6,13,2,4,2019,8:47:00,5.0,-7
54,DEN,CHI,CHI,43.0,1.0,short,0.0,4.0,0.0,pass,145.0,10.0,6,13,10,10,2019,2:25:00,7.0,-7
55,DEN,CHI,CHI,12.0,1.0,short,0.0,4.0,0.0,pass,62.0,5.0,6,13,3,5,2019,1:02:00,38.0,-7
56,DEN,CHI,DEN,60.0,1.0,deep,0.0,4.0,0.0,pass,9.0,25.0,14,13,15,25,2019,0:09:00,10.0,1
57,ATL,PHI,ATL,4.0,1.0,short,0.0,4.0,0.0,pass,1203.0,4.0,17,12,4,4,2019,20:03:00,46.0,5
58,ATL,PHI,PHI,54.0,1.0,short,0.0,4.0,55.0,pass,140.0,-1.0,23,20,3,54,2019,2:20:00,4.0,3
59,ATL,PHI,ATL,61.0,1.0,deep,0.0,4.0,2.0,pass,89.0,41.0,24,20,14,43,2019,1:29:00,11.0,4
60,ATL,PHI,ATL,16.0,0.0,short,0.0,4.0,0.0,pass,38.0,7.0,24,20,8,7,2019,0:38:00,34.0,4
61,NYJ,CLE,CLE,12.0,0.0,short,0.0,4.0,7.0,pass,1129.0,-6.0,3,16,2,1,2019,18:49:00,38.0,-13
62,NYJ,CLE,CLE,44.0,0.0,short,0.0,4.0,0.0,pass,775.0,1.0,3,23,3,1,2019,12:55:00,6.0,-20
63,JAX,TEN,JAX,11.0,0.0,,0.0,4.0,,pass,1591.0,,14,0,6,-9,2019,26:31:00,39.0,14
64,JAX,TEN,TEN,4.0,0.0,short,0.0,4.0,,pass,208.0,4.0,20,7,4,0,2019,3:28:00,46.0,13
65,PHI,DET,DET,78.0,0.0,,0.0,4.0,,run,145.0,,24,27,8,6,2019,2:25:00,28.0,-3
66,PHI,DET,DET,55.0,0.0,deep,0.0,4.0,,pass,49.0,53.0,24,27,15,0,2019,0:49:00,5.0,-3
67,NE,NYJ,NE,76.0,0.0,short,0.0,4.0,0.0,pass,56.0,4.0,30,14,13,4,2019,0:56:00,26.0,16
